scenario,time_period,Median,75th Percentile
hist,historical,0.0% (0.0 weeks),0.0% (0.0 weeks)
rcp4p5,early,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,mid,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp4p5,end,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp8p5,early,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp8p5,mid,0.0% (0.0 weeks),100.0% (1.0 weeks)
rcp8p5,end,0.0% (0.0 weeks),100.0% (1.0 weeks)
