Name,intensity_percent_change_from_hist
Equatorial.Atlantic-Ocean,-56.2
N.Atlantic-Ocean,-25.0
S.W.South-America,-8.9
Equatorial.Indic-Ocean,-4.9
Arabian-Peninsula,0.0
