station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
2588800	2	2880	KANO GAWA	TOKURA	JP	35.09	138.9	568
2588900	2	2880	ABE KAWA	TEGOSHI	JP	34.96	138.37	537.3
2588910	2	2880	OI GAWA	KANZA	JP	34.88	138.12	1160
2588920	2	2880	MIYA-KAWA	IWADE	JP	34.46	136.66	780
2589100	2	2890	YOSHII GAWA	TSUSE	JP	34.87	134.11	1675.1
2589101	2	2890	YOSHII GAWA	MIYASU	JP	34.71	134.09	1996.1
2589110	2	2890	KYUOTA GAWA	YAGUCHI-1	JP	34.46	132.5	1527
2589120	2	2890	KYUOTA GAWA	IMURO	JP	34.53	132.44	1082
2589200	2	2891	GONO KAWA	KAWAHIRA	JP	34.995278	132.286667	3807
2589201	2	2891	GONO KAWA	TSUGA	JP	34.945556	132.645	2890
2589202	2	2891	GONO KAWA	OZEKIYAMA	JP	34.808333	132.843611	1981
2589203	2	2894	UJI GAWA	YODO	JP	34.89	135.72	4354
2589204	2	2894	SETA GAWA	TORIIGAWA	JP	34.97	135.91	3846.2
2589210	2	2890	HIME-KAWA	YAMAMOTO	JP	36.98	137.87	697.7
2589220	2	2890	KUROBE GAWA	UNAZUKI	JP	36.81	137.59	637
2589230	2	2890	SHO GAWA	DAIMON	JP	36.73	137.05	1120
2589240	2	2890	ARA KAWA	TSUZURAYAMA	JP	38.131944	139.464444	1127
2589250	2	2890	SEKI-GAWA	TAKADA	JP	37.12	138.27	703
2589260	2	2894	YODO GAWA	HIRAKATA	JP	34.81	135.65	7281
2589270	2	2894	KATSURA GAWA	NOSO	JP	34.9	135.72	1100
2589280	2	2894	KIZU GAWA	YAWATA	JP	34.88	135.71	1596
2589300	2	2890	ASHIDA GAWA	YAMATE	JP	34.49	133.3425	817.1
2589310	2	2890	TAKAHASHI GAWA	HIWA	JP	34.71	133.68	1985.8
2589320	2	2890	ASAHI GAWA	MAKIYAMA	JP	34.738611	133.963889	1586.6
2589350	2	2890	KINO KAWA	FUNATO	JP	34.25	135.31	1558
2589351	2	2890	KINO KAWA	MITANI	JP	34.29	135.53	1048.9
2589360	2	2890	YAMATO GAWA	KASHIWARA	JP	34.58	135.62	962
2589370	2	2890	KAKO GAWA	KUNIKANE	JP	34.797222	134.917778	1656
2589380	2	2890	IBO GAWA	KAMIGAWARA	JP	34.801111	134.563333	795.5
2589390	2	2890	KUZURYU GAWA	NAKATSUNO	JP	36.1	136.21	1239.6
2589400	2	2890	JINZU GAWA	JINTSU-OHASHI	JP	36.698333	137.206944	2688
2589410	2	2890	YURA-GAWA	FUKUCHIYAMA	JP	35.3	135.13	1344.3
2589420	2	2890	MARUYAMA-GAWA	FUICHIBA	JP	35.48	134.8	837
2589500	2	2893	SHINANO GAWA	OJIYA	JP	37.31	138.81	9719
2589501	2	2893	SHINANO GAWA	IWASAWA	JP	37.24	138.81	8126
2589502	2	2893	SHINANO GAWA	TATEGAHANA	JP	36.73	138.31	6442.3
2589503	2	2893	SHINANO GAWA	KUISEGE	JP	36.53	138.12	2595.9
2589504	2	2893	SHINANO GAWA	IKUTA	JP	36.36	138.28	2036.4
2589505	2	2893	UONO GAWA	HORINOUCHI	JP	37.24	138.933	1408
2589506	2	2893	SAI GAWA	KOICHI	JP	36.62	138.14	2773
2589550	2	2890	AGANO GAWA	MAOROSHI	JP	37.736111	139.272222	6997
2589551	2	2890	AGANO GAWA	YAMASHINA	JP	36.61	139.82	2714.9
2589552	2	2890	AGANO GAWA	OYA	JP	37.38	139.93	868
2589600	2	2890	IWAKI GAWA	GOSHOGAWARA	JP	40.8075	140.440556	1740.3
2589610	2	2890	KOYOSHI GAWA	TODOROKI-BASHI	JP	39.37	140.07	937
2589620	2	2890	AKA GAWA	HAMANAKA	JP	38.84	139.82	695.1
2589700	2	2892	MOGAMI GAWA	TAKAYA	JP	38.76	140.07	6270.9
2589701	2	2892	MOGAMI GAWA	SAGOSHI	JP	38.88	139.91	6497.2
2589702	2	2892	MOGAMI GAWA	INASHITA	JP	38.65	140.35	3769.5
2589703	2	2892	MOGAMI GAWA	NAGASAKI	JP	38.34	140.29	2146.9
2589704	2	2892	MOGAMI GAWA	NISHIOTSUKA	JP	38.06	140.07	1917.9
2589705	2	2892	SAKE GAWA	MAKI	JP	38.8	140.22	617.6
2589750	2	2890	KYUOMONO GAWA	TSUBAKIGAWA	JP	39.61	140.16	4035
2589751	2	2890	KYUOMONO GAWA	JINGUJI	JP	39.48	140.42	3336.5
2589752	2	2890	KYUOMONO GAWA	OMAGARI-BASHI	JP	39.45	140.46	1882.1
2589753	2	2890	KYUOMONO GAWA	OMONOGAWA-BASHI	JP	39.28	140.4	1240
2589754	2	2890	TAMA GAWA	NAGANO	JP	39.54	140.533	1088
2589800	2	2890	YONESHIRO GAWA	FUTATSUI	JP	40.2	140.24	3750.4
2589801	2	2890	YONESHIRO GAWA	TAKANOSU	JP	40.222	140.369	2109
2589802	2	2890	YONESHIRO GAWA	JUNISHO	JP	40.208	140.673	1667.4
2589810	2	2890	HINO GAWA	KUZUMO	JP	35.427778	133.367222	860
2589820	2	2890	HII KAWA	OTSU	JP	35.365556	132.785556	911.4
2589830	2	2890	TAKATSU GAWA	TAKATSUNO	JP	34.67	131.83	1076
2589850	2	2890	SENDAI-GAWA	GYOTOKU	JP	35.5	134.22	1053.7
2590100	2	2900	CHIKUGO GAWA	SENOSHITA	JP	33.316111	130.497222	2315
2590101	2	2900	CHIKUGO GAWA	ARASE	JP	33.343333	130.835	1443
2590200	2	2900	ONGA GAWA	HINODE-BASHI	JP	33.75	130.73	695
2590210	2	2900	MATSUURA GAWA	MUTABE	JP	33.36	130.01	275
2590220	2	2900	KIKUCHI GAWA	TAMANA	JP	32.94	130.59	906
2590230	2	2900	SENDAI GAWA	ONOBUCHI	JP	31.86	130.34	1348
2590300	2	2900	KUMA GAWA	YOKOISHI	JP	32.46	130.66	1856
2590301	2	2900	KUMA GAWA	HITOYOSHI	JP	32.21	130.77	1137
2590400	2	2900	OYODO GAWA	KASHIWADA	JP	31.95	131.4	2126
2590401	2	2900	OYODO GAWA	HIWATASHI	JP	31.86	131.1	860.6
2591100	2	2910	SHIMANTO GAWA	GUDO	JP	32.98	132.93	1807.6
2591200	2	2910	NIYODO-GAWA	KAWAGUCHI	JP	33.57	133.18	944.6
2591201	2	2910	NIYODO-GAWA	INO	JP	33.55	133.42	1462.7
2591210	2	2910	SHIGENOBU-GAWA	DEAI	JP	33.8	132.73	445
